City	Population	"Violent
crime"	"Murder and
nonnegligent
manslaughter"	"Rape
(revised
definition)1"	"Rape
(legacy
definition)2"	Robbery	"Aggravated
assault"	"Property
crime"	Burglary	"Larceny-
theft"	"Motor
vehicle
theft"	Arson3	
Delhi Village4	"3,028"	5	0	0		1	4	42	10	30	2	0	
Depew Village4	"15,200"	15	0	5		4	6	251	42	207	2	0	
Dewitt Town	"22,682"	20	0		0	7	13	685	97	577	11	0	
Dexter Village	"1,114"	0	0		0	0	0	9	1	8	0	0	
Dobbs Ferry Village	"11,102"	3	0		0	1	2	96	11	81	4	2	
Dolgeville Village4	"2,173"	2	0	0		0	2	32	7	25	0	0	
Dryden Village4	"2,134"	1	0	1		0	0	80	13	64	3	1	
Dunkirk4	"12,275"	44	0	2		13	29	241	44	194	3	0	
Durham Town4	"2,689"	1	0	0		0	1	4	0	4	0	0	
East Aurora-Aurora Town4	"13,790"	8	0	1		3	4	128	14	111	3	5	
Eastchester Town	"19,965"	6	0		0	2	4	140	25	112	3	0	
East Greenbush Town	"16,454"	22	2		0	7	13	371	41	325	5	0	
East Hampton Town4	"19,728"	7	0	1		0	6	280	36	241	3	0	
East Hampton Village	"1,108"	0	0		0	0	0	61	4	56	1	0	
East Rochester Village4	"6,581"	11	0	1		3	7	75	7	67	1	0	
East Syracuse Village	"3,030"	7	0		0	1	6	206	29	171	6	0	
Eden Town4	"7,696"	3	0	2		0	1	28	6	21	1	0	
Ellenville Village	"4,114"	12	0		0	2	10	115	38	75	2	1	
Ellicott Town4	"5,156"	7	0	5		1	1	270	30	230	10	3	
Elmira	"28,803"	80	1		0	29	50	964	230	712	22	3	
Elmira Heights Village	"4,034"	1	0		0	0	1	77	10	64	3	0	
Elmira Town	"5,894"	1	0		0	1	0	4	2	2	0	0	
Elmsford Village4	"4,808"	2	0	0		2	0	36	6	21	9	0	
Endicott Village4	"13,096"	75	0	4		23	48	611	109	488	14	0	
Fairport Village4	"5,336"	4	0	1		0	3	48	10	36	2	0	
Fallsburg Town4	"12,169"	12	0	2		0	10	105	53	50	2	0	
Fishkill Town	"21,502"	7	0		0	2	5	266	13	250	3	1	
Fishkill Village4	"2,147"	0	0	0		0	0	30	0	28	2	0	
Floral Park Village	"15,915"	9	0		0	4	5	47	8	38	1	0	
Florida Village4	"2,865"	0	0	0		0	0	24	2	22	0	0	
Fort Edward Village4	"3,292"	1	0	0		0	1	8	2	5	1	0	
Fort Plain Village4	"2,268"	7	0	1		1	5	61	13	47	1	0	
Frankfort Town4	"5,010"	1	0	0		0	1	38	8	27	3	0	
Frankfort Village4	"2,556"	0	0	0		0	0	36	10	26	0	0	
Franklinville Village	"1,700"	3	0		0	0	3	21	2	19	0	0	
Fredonia Village4	"10,831"	9	0	1		1	7	236	30	202	4	0	
Freeport Village4	"43,234"	150	2	1		77	70	848	98	687	63	3	
Friendship Town4	"1,950"	5	0	1		0	4	17	5	12	0	0	
Fulton City	"11,707"	15	0		0	7	8	455	72	381	2	1	
Garden City Village	"22,595"	12	1		0	8	3	279	25	246	8	0	
Gates Town4	"28,543"	64	1	9		21	33	"1,037"	106	903	28	0	
Geddes Town	"10,436"	4	0		0	2	2	244	16	221	7	0	
Geneseo Village	"7,914"	4	0		0	1	3	112	8	103	1	0	
Geneva	"13,184"	19	0		0	4	15	350	79	267	4	5	
Germantown Town	"1,915"	0	0		0	0	0	3	1	1	1	0	
Glen Cove	"27,241"	6	0		0	6	0	97	19	72	6	1	
Glen Park Village	518	0	0		0	0	0	2	0	2	0	0	
Glens Falls4	"14,518"	25	0	8		4	13	338	39	293	6	1	
Glenville Town4	"21,819"	6	0	2		1	3	470	33	431	6	2	
Gloversville4	"15,242"	39	0	1		12	26	677	99	562	16	2	
Goshen Village	"5,375"	5	0		0	1	4	51	3	47	1	0	
Gowanda Village	"2,662"	8	0		0	0	8	78	18	59	1	0	
Granville Village	"2,472"	1	0		0	1	0	21	10	10	1	0	
Greece Town4	"97,144"	169	1	34		48	86	"2,430"	296	"2,073"	61	0	
Greenburgh Town4	"45,133"	61	0	7		20	34	602	68	511	23	0	
Greene Village	"1,540"	0	0		0	0	0	16	2	13	1	0	
Green Island Village4	"2,620"	3	0	0		0	3	46	6	37	3	0	
Greenport Town4	"4,049"	1	0	0		0	1	169	5	162	2	0	
Greenwich Village	"1,756"	0	0		0	0	0	20	3	17	0	0	
Greenwood Lake Village4	"3,105"	3	0	1		0	2	36	6	27	3	0	
Groton Village4	"2,417"	3	0	0		1	2	49	11	38	0	0	
Guilderland Town4	"33,958"	25	4	5		4	12	669	62	602	5	1	
Hamburg Town4	"45,656"	51	0	4		11	36	"1,042"	124	894	24	3	
Hamburg Village4	"9,546"	6	0	1		2	3	129	21	107	1	1	
Hamilton Village4	"4,163"	0	0	0		0	0	26	7	19	0	0	
Hammondsport Village	650	0	0		0	0	0	10	4	6	0	0	
Harriman Village4	"2,486"	1	0	0		0	1	29	5	23	1	1	
Harrison Town4	"28,130"	5	0	0		0	5	129	17	111	1	0	
Hastings-on-Hudson Village	"7,970"	1	0		0	0	1	55	3	50	2	1	
Haverstraw Town	"37,422"	46	1		0	19	26	268	55	204	9	0	
Hempstead Village	"55,722"	477	8		0	248	221	965	201	607	157	3	
Herkimer Village	"7,646"	55	0		0	8	47	390	32	358	0	2	
Highlands Town4	"8,400"	2	0	0		0	2	19	3	16	0	0	
Holley Village4	"1,769"	3	0	1		0	2	35	10	24	1	0	
Homer Village	"3,240"	1	0		0	0	1	57	14	41	2	0	
Hoosick Falls Village4	"3,436"	3	0	0		1	2	35	3	31	1	0	
Hornell4	"8,453"	5	0	0		0	5	116	13	101	2	0	
Hudson4	"6,632"	27	0	6		4	17	167	17	148	2	0	
Hudson Falls Village4	"7,305"	7	0	4		1	2	110	16	91	3	1	
Huntington Bay Village	"1,429"	0	0		0	0	0	13	2	11	0	0	
Hyde Park Town	"21,326"	14	0		0	4	10	137	25	107	5	0	
Ilion Village4	"7,969"	13	0	2		0	11	130	18	109	3	0	
Independence Town	"1,188"	0	0		0	0	0	9	3	6	0	0	
Inlet Town4	328	0	0	0		0	0	15	0	14	1	0	
Interlaken Village	606	0	0		0	0	0	3	0	3	0	0	
Irondequoit Town4	"51,390"	74	0	9		33	32	"1,414"	254	"1,125"	35	3	
Irvington Village	"6,581"	1	0		0	0	1	18	5	13	0	0	
Jamestown4	"30,646"	221	1	43		45	132	"1,285"	354	882	49	15	
Johnson City Village4	"14,824"	44	1	3		8	32	"1,090"	132	950	8	1	
Johnstown	"8,439"	11	0		0	4	7	286	26	255	5	2	
Jordan Village	"1,346"	0	0		0	0	0	6	0	5	1	0	
Kenmore Village4	"15,216"	16	0	0		2	14	315	46	260	9	0	
Kensington Village	"1,178"	0	0		0	0	0	0	0	0	0	0	
Kent Town4	"13,401"	2	0	1		1	0	80	19	61	0	0	
Kings Point Village	"5,065"	0	0		0	0	0	10	0	7	3	0	
Kingston4	"23,702"	67	2	5		25	35	672	87	578	7	1	
Kirkland Town4	"8,347"	2	0	0		0	2	67	19	45	3	0	
Lackawanna4	"17,931"	77	1	3		10	63	412	86	299	27	7	
Lake Placid Village	"2,460"	2	0		0	0	2	29	6	22	1	0	
Lake Success Village4	"3,053"	2	0	0		0	2	28	11	17	0	1	
Lakewood-Busti4	"7,265"	11	0	9		1	1	414	31	382	1	0	
Lancaster Town4	"36,760"	15	0	3		2	10	431	35	392	4	2	
Larchmont Village4	"5,971"	0	0	0		0	0	99	7	91	1	0	
Le Roy Village4	"4,325"	6	0	0		1	5	82	18	63	1	0	
Lewisboro Town4	"12,712"	0	0	0		0	0	5	0	5	0	0	
Lewiston Town and Village4	"16,145"	6	0	0		2	4	126	20	99	7	1	
Liberty Village4	"4,251"	20	0	6		3	11	215	39	170	6	0	
Little Falls4	"4,875"	9	0	3		0	6	122	15	105	2	0	
Liverpool Village4	"2,307"	4	0	1		1	2	44	5	38	1	0	
Lloyd Harbor Village	"3,680"	0	0		0	0	0	14	0	13	1	0	
Lloyd Town	"10,669"	5	0		0	0	5	115	12	100	3	0	
Long Beach4	"33,613"	40	1	0		12	27	264	31	226	7	1	
Lowville Village4	"3,438"	6	0	1		0	5	47	5	42	0	0	
Lynbrook Village4	"19,506"	15	0	1		4	10	165	13	142	10	0	
Lyons Village4	"3,517"	14	0	2		5	7	157	31	124	2	1	
Macedon Town and Village4	"9,081"	2	0	1		0	1	41	8	33	0	0	
Malone Village4	"5,853"	3	0	2		1	0	186	33	152	1	1	
Malverne Village	"8,549"	1	0		0	0	1	7	0	7	0	0	
Mamaroneck Town	"12,226"	1	0		0	1	0	117	20	95	2	0	
Mamaroneck Village	"19,309"	20	0		0	1	19	172	28	141	3	0	
Manchester Village	"1,671"	0	0		0	0	0	1	1	0	0	0	
Manlius Town4	"24,577"	15	0	1		4	10	376	59	311	6	1	
Marcellus Village4	"1,783"	1	0	1		0	0	11	3	8	0	0	
Marlborough Town	"8,738"	8	0		0	0	8	93	25	66	2	0	
Massena Village4	"10,785"	22	0	4		6	12	332	44	284	4	0	
Maybrook Village4	"3,157"	0	0	0		0	0	12	2	9	1	0	
Mechanicville4	"5,192"	7	0	1		0	6	61	16	44	1	1	
Medina Village4	"5,913"	11	0	0		4	7	151	39	108	4	0	
Menands Village4	"4,005"	5	0	1		2	2	118	9	106	3	0	
Middleport Village	"1,798"	0	0		0	0	0	32	3	25	4	0	
Middletown	"27,700"	122	1		0	45	76	828	162	644	22	2	
Monroe Village4	"8,627"	7	0	1		3	3	168	15	149	4	1	
Montgomery Town4	"8,959"	5	0	0		0	5	56	13	42	1	0	
Montgomery Village	"4,481"	1	0		0	0	1	22	0	22	0	0	
Monticello Village4	"6,693"	59	2	6		18	33	290	118	172	0	0	
Moravia Village	"1,261"	2	0		0	0	2	28	4	24	0	0	
Moriah Town	"3,572"	6	0		0	0	6	6	0	6	0	0	
Mount Hope Town4	"7,173"	0	0	0		0	0	19	3	15	1	0	
Mount Kisco Village4	"11,112"	26	0	0		8	18	117	23	91	3	0	
Mount Morris Village4	"2,891"	2	0	2		0	0	80	12	67	1	2	
Mount Pleasant Town	"26,931"	9	0		0	2	7	205	35	169	1	1	
Mount Vernon4	"68,442"	490	6	29		195	260	"1,031"	251	695	85	0	
Nassau Village4	"1,119"	0	0	0		0	0	17	0	16	1	0	
Newark Village4	"8,908"	34	0	10		5	19	283	45	228	10	0	
Newburgh4	"28,378"	411	1	14		124	272	866	230	577	59	11	
Newburgh Town4	"30,826"	26	1	1		13	11	"1,401"	75	"1,317"	9	2	
New Hartford Town and Village4	"20,308"	25	0	1		12	12	776	43	729	4	0	
New Paltz Town and Village	"14,074"	28	1		0	0	27	203	31	169	3	0	
New Rochelle4	"80,030"	179	1	11		73	94	"1,213"	145	"1,020"	48	0	
New Windsor Town	"26,307"	33	0		0	6	27	529	82	428	19	1	
New York4	"8,473,938"	"50,564"	333	"2,190"		"16,581"	"31,460"	"135,747"	"15,916"	"112,107"	"7,724"		
New York Mills Village	"3,323"	7	0		0	1	6	38	6	30	2	0	
Niagara Falls4	"49,300"	581	3	26		161	391	"2,641"	650	"1,858"	133	15	
Niagara Town4	"8,162"	16	0	0		7	9	397	35	354	8	0	
Niskayuna Town4	"22,245"	7	0	2		5	0	379	65	308	6	0	
Norfolk Town4	"4,558"	1	0	0		0	1	4	1	3	0	0	
North Castle Town	"12,224"	2	0		0	1	1	63	9	52	2	0	
North Greenbush Town4	"12,152"	14	0	2		4	8	186	14	162	10	0	
Northport Village	"7,406"	3	0		0	1	2	58	11	46	1	0	
North Syracuse Village	"6,941"	14	0		0	3	11	95	15	76	4	0	
North Tonawanda4	"30,986"	47	2	2		15	28	481	116	354	11	18	
Northville Village	"1,084"	0	0		0	0	0	0	0	0	0	0	
Norwich4	"6,985"	23	0	7		4	12	276	40	235	1	0	
Nunda Town and Village4	"2,992"	0	0	0		0	0	8	2	6	0	0	
Ocean Beach Village4	79	0	0	0		0	0	24	3	21	0	0	
Ogdensburg4	"10,990"	21	1	1		2	17	434	72	359	3	5	
Ogden Town4	"20,198"	17	0	2		3	12	244	24	210	10	1	
Old Brookville Village	"2,179"	2	0		0	0	2	50	4	44	2	0	
Old Westbury Village	"4,600"	2	0		0	2	0	44	13	28	3	0	
Olive Town4	"4,353"	2	0	0		0	2	22	10	12	0	0	
Oneida4	"11,231"	26	0	5		2	19	451	66	384	1	3	
Oneonta City4	"13,961"	26	0	8		5	13	248	45	202	1	6	
Orangetown Town4	"37,677"	33	0	2		8	23	307	39	261	7	0	
Orchard Park Town4	"29,507"	13	1	1		4	7	392	71	308	13	3	
Oriskany Village	"1,388"	0	0		0	0	0	9	1	8	0	0	
Ossining Village	"25,455"	55	1		1	28	25	211	47	156	8	1	
Oswego City4	"18,113"	50	0	12		7	31	628	103	518	7	2	
Owego Village4	"3,794"	11	0	3		2	6	145	24	116	5	0	
Oxford Village	"1,432"	0	0		0	0	0	26	3	23	0	0	
Oyster Bay Cove Village	"4,248"	0	0		0	0	0	15	4	9	2	0	
Palmyra Village4	"3,451"	0	0	0		0	0	25	5	20	0	0	
Peekskill4	"24,083"	54	0	2		11	41	189	22	164	3	0	
Pelham Manor Village4	"5,586"	4	0	0		4	0	127	11	116	0	0	
Pelham Village4	"7,017"	5	0	0		3	2	74	8	65	1	0	
Penn Yan Village	"5,087"	3	0		0	1	2	55	4	50	1	0	
Perry Village4	"3,599"	7	0	2		0	5	60	12	45	3	0	
Phelps Village	"1,961"	0	0		0	0	0	14	3	11	0	0	
Piermont Village	"2,565"	2	0		0	0	2	25	1	23	1	0	
Plattekill Town4	"10,274"	4	0	0		1	3	78	21	55	2	0	
Pleasantville Village	"7,151"	1	1		0	0	0	7	1	6	0	0	
Port Byron Village	"1,263"	0	0		0	0	0	3	0	3	0	0	
Port Chester Village	"29,513"	65	0		0	34	31	502	53	436	13	0	
Port Dickinson Village	"1,599"	0	0		0	0	0	29	5	23	1		
Port Jervis	"8,627"	23	1		0	7	15	293	59	232	2	0	
Portville Village	992	0	0		0	0	0	4	0	4	0	0	
Port Washington	"19,094"	5	0		0	4	1	115	15	95	5	1	
Potsdam Village4	"9,775"	3	0	0		0	3	157	11	143	3	0	
Poughkeepsie4	"30,554"	272	3	27		95	147	668	165	497	6	4	
Poughkeepsie Town4	"43,599"	52	0	4		30	18	"1,414"	99	"1,303"	12	3	
Pound Ridge Town4	"5,234"	3	0	0		0	3	39	5	34	0	0	
Pulaski Village	"2,345"	2	0		0	1	1	26	5	21	0	0	
Quogue Village	982	0	0		0	0	0	29	3	26	0	0	
Ramapo Town4	"88,881"	64	0	6		18	40	643	89	536	18	2	
Red Hook Village	"1,967"	0	0		0	0	0	63	12	51	0	0	
Rensselaer City	"9,575"	14	0		0	1	13	147	29	106	12	0	
Rhinebeck Village	"2,631"	2	0		0	1	1	27	5	22	0	0	
Rochester4	"210,347"	"1,765"	27	190		698	850	"8,856"	"2,125"	"6,058"	673	135	
Rockville Centre Village	"24,127"	17	0		0	10	7	194	8	174	12	0	
Rome4	"32,615"	28	2	1		7	18	625	156	450	19	2	
Rosendale Town4	"5,985"	2	0	0		0	2	41	7	33	1	0	
Rotterdam Town	"29,340"	13	1		0	4	8	901	110	769	22	4	
Rouses Point Village	"2,186"	0	0		0	0	0	21	9	12	0	0	
Rye4	"16,016"	4	0	0		3	1	54	4	49	1	0	
Rye Brook Village	"9,544"	2	0		0	2	0	92	12	78	2	0	
Sackets Harbor Village4	"1,510"	0	0	0		0	0	1	1	0	0	0	
Sag Harbor Village	"2,275"	0	0		0	0	0	57	5	51	1	0	
Salamanca4	"5,653"	23	0	2		1	20	106	35	62	9	2	
Sands Point Village	"2,727"	0	0		0	0	0	9	0	6	3	0	
Saranac Lake Village4	"5,333"	8	0	0		0	8	117	27	88	2	0	
Saratoga Springs4	"27,496"	64	0	8		16	40	590	97	482	11	1	
Saugerties Town	"19,227"	11	0		0	3	8	217	43	168	6	3	
Scarsdale Village	"17,710"	1	0		0	1	0	129	24	102	3	0	
Schenectady4	"65,834"	575	5	57		158	355	"2,518"	642	"1,752"	124	19	
Schodack Town4	"11,667"	7	0	1		0	6	70	19	48	3	0	
Schoharie Village	857	0	0		0	0	0	0	0	0	0	0	
Scotia Village4	"7,808"	13	0	0		3	10	150	22	118	10	0	
Seneca Falls Town4	"9,135"	17	0	4		1	12	314	39	270	5	0	
Shandaken Town4	"3,018"	2	0	0		0	2	67	24	42	1	0	
Shawangunk Town4	"14,156"	6	0	1		3	2	67	20	47	0	0	
Shelter Island Town4	"2,416"	1	0	1		0	0	36	9	26	1	0	
Sherrill4	"3,083"	0	0	0		0	0	21	6	15	0	0	
Shortsville Village	"1,429"	0	0		0	0	0	0	0	0	0	0	
Sidney Village4	"3,763"	13	0	3		0	10	132	14	114	4	0	
Skaneateles Village	"2,453"	1	0		0	0	1	6	0	6	0	0	
Sleepy Hollow Village	"10,051"	8	0		0	4	4	53	10	41	2	0	
Sodus Point Village4	879	0	0	0		0	0	8	1	7	0	0	
Sodus Village4	"1,792"	1	0	0		0	1	24	4	20	0	0	
Solvay Village	"6,467"	19	0		0	6	13	143	26	109	8	0	
Southampton Town4	"50,819"	47	0	3		18	26	778	132	585	61	3	
Southampton Village	"3,158"	2	0		0	0	2	84	6	77	1	0	
South Glens Falls Village4	"3,621"	1	0	0		1	0	97	9	86	2	0	
South Nyack Village4	"3,602"	2	0	1		0	1	11	2	9	0	0	
Southold Town4	"19,991"	8	0	0		2	6	308	61	242	5	0	
Spring Valley Village4	"32,586"	131	0	8		38	85	391	77	303	11	4	
Stillwater Town	"6,604"	0	0		0	0	0	29	5	23	1	0	
St. Johnsville Village4	"1,687"	0	0	0		0	0	54	7	47	0	0	
Stockport Town	"2,744"	0	0		0	0	0	1	1	0	0	0	
Stony Point Town4	"15,408"	11	0	2		1	8	103	17	81	5	0	
Suffern Village	"10,975"	5	1		0	0	4	61	10	50	1	0	
Syracuse4	"144,534"	"1,164"	20	70		406	668	"5,755"	"1,404"	"3,986"	365	57	
Tarrytown Village	"11,531"	6	0		0	3	3	86	20	63	3	1	
Ticonderoga Town4	"4,979"	13	0	5		0	8	56	13	40	3	2	
Tonawanda4	"14,958"	21	0	4		3	14	351	40	298	13	3	
Tonawanda Town4	"58,077"	95	1	13		34	47	"1,015"	148	827	40	0	
Troy	"49,950"	350	7		0	110	233	"2,182"	540	"1,512"	130	13	
Trumansburg Village4	"1,840"	0	0	0		0	0	55	6	46	3	0	
Tuckahoe Village	"6,620"	2	0		0	0	2	45	3	38	4	0	
Tupper Lake Village4	"3,630"	13	0	4		3	6	114	25	85	4	0	
Tuxedo Park Village	612	0	0		0	0	0	0	0	0	0	0	
Tuxedo Town4	"2,987"	2	0	0		1	1	2	0	2	0	0	
Ulster Town4	"12,112"	15	0	1		4	10	390	22	362	6	1	
Utica4	"61,702"	402	6	35		124	237	"2,366"	432	"1,826"	108	6	
Vernon Village	"1,166"	1	0		0	0	1	15	2	13	0	0	
Vestal Town4	"28,019"	11	0	4		1	6	580	38	524	18	0	
Walden Village4	"6,847"	9	0	0		0	9	89	10	75	4	2	
Wallkill Town4	"28,211"	43	0	2		19	22	506	59	430	17	2	
Walton Village4	"2,980"	10	0	1		1	8	75	15	59	1	2	
Warsaw Village4	"3,397"	5	0	1		0	4	75	6	69	0	1	
Washingtonville Village	"5,788"	2	0		0	0	2	59	5	53	1	0	
Waterford Town and Village	"8,398"	1	0		0	1	0	58	14	44	0	0	
Waterloo Village4	"5,185"	13	0	2		1	10	154	22	127	5	0	
Watertown4	"28,009"	153	0	47		17	89	"1,296"	193	"1,097"	6	3	
Watervliet4	"10,235"	20	0	2		10	8	199	32	152	15	0	
Watkins Glen Village4	"1,871"	2	0	0		0	2	103	10	93	0	0	
Waverly Village4	"4,344"	4	0	2		0	2	20	6	13	1	0	
Webster Town and Village4	"44,230"	27	1	6		7	13	496	67	418	11	1	
Weedsport Village	"1,796"	2	0		0	0	2	21	7	14	0	0	
Wellsville Village	"4,576"	18	0		0	0	18	156	40	114	2	1	
Westfield Village4	"3,147"	1	0	0		0	1	9	2	7	0	2	
Westhampton Beach Village	"1,753"	2	0		0	0	2	33	8	23	2	0	
West Seneca Town4	"44,866"	38	0	3		17	18	764	111	631	22	1	
Whitehall Village4	"2,598"	13	0	3		0	10	44	6	37	1	0	
White Plains4	"58,103"	105	1	5		25	74	"1,046"	55	968	23	0	
Whitesboro Village	"3,727"	5	0		0	1	4	41	10	29	2	0	
Whitestown Town	"9,307"	0	0		0	0	0	71	16	55	0	0	
Windham Town4	"1,682"	1	0	0		0	1	18	8	9	1	0	
Wolcott Village	"1,646"	0	0		0	0	0	4	0	4	0	0	
"Woodbury Town4, 5"	"10,739"	4	0	0		1	3		5		0	0	
Woodstock Town4	"5,907"	3	0	1		2	0	43	14	29	0	0	
Yonkers4	"200,624"	974	3	33		358	580	"2,009"	414	"1,395"	200	15	
Yorktown Town4	"36,989"	13	0	0		0	13	209	24	182	3	0	
Youngstown Village4	"1,896"	0	0	0		0	0	1	0	1	0	0	
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.													
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.													
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.													
"4 This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See Data Declaration for further explanation."													
"5 The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table."													
													
 													
